sensitivity,batch_size,learning_rate,hidden_dims,accuracy,precision,recall,f1,specificity,false_positive_rate,false_negative_rate,roc_auc,average_precision,threshold,true_negatives,false_positives,false_negatives,true_positives,final_train_loss,elapsed_seconds,objective
95.0,128,0.0001,16-8-4,0.9489946396385852,0.02696629213483146,0.8108108108108109,0.05219660722053066,0.9492344127371211,0.05076558726287898,0.1891891891891892,0.9269740465252458,0.3871189812567161,0.016890643164515495,40482,2165,14,60,0.007697814201563596,7.685246916022152,0.5644388903279793
95.0,128,0.001,16-8-4,0.9487605627209101,0.027268663388466695,0.8243243243243243,0.05279099956728689,0.9489764813468708,0.05102351865312918,0.17567567567567569,0.9313430367080097,0.3812239981225798,0.013353519141674042,40471,2176,13,61,0.006057931404858828,7.6865254159783944,0.5617933198770964
99.5,512,0.0005,16-8-4,0.9945928232017041,0.2037735849056604,0.7297297297297297,0.3185840707964602,0.9950524069688372,0.004947593031162802,0.2702702702702703,0.926051957648553,0.3805388754473918,0.03955516219139099,42436,211,20,54,0.007790957387536764,4.351088875031564,0.5604975113642428
99.5,256,0.001,64-32-16-8,0.9945928232017041,0.19923371647509577,0.7027027027027027,0.31044776119402984,0.9950993035852463,0.004900696414753675,0.2972972972972973,0.9428033973429899,0.386222449370097,0.029114598408341408,42438,209,22,52,0.0028272370344400405,8.01722629199503,0.5594477768383957
99.5,256,0.0005,32-16-8,0.9943119309004939,0.19047619047619047,0.7027027027027027,0.29971181556195964,0.9948179238867916,0.005182076113208432,0.2972972972972973,0.9345679712587116,0.38563675870593367,0.03078301250934601,42426,221,22,52,0.003392405163422227,6.142323166015558,0.5587213963250052
95.0,512,0.001,64-32-16-8,0.9490648627138878,0.027428057553956834,0.8243243243243243,0.05308964316797215,0.9492813093535302,0.05071869064646986,0.17567567567567569,0.9367958774071748,0.37792688366549937,0.007625757250934839,40484,2163,13,61,0.003186963955760002,5.636238667008001,0.5586486194233455
95.0,512,0.0005,16-8-4,0.9489244165632827,0.026929982046678635,0.8108108108108109,0.052128583840139006,0.9491640678125073,0.050835932187492675,0.1891891891891892,0.926051957648553,0.3805388754473918,0.017172660678625107,40479,2168,14,60,0.007790957387536764,4.331923957972322,0.5578236120563481
99.5,256,0.0005,64-32-16-8,0.994499192434634,0.19622641509433963,0.7027027027027027,0.30678466076696165,0.9950055103524281,0.004994489647571928,0.2972972972972973,0.937816195683103,0.38280161647620736,0.030335528776049614,42434,213,22,52,0.0030308202777802945,7.846510374976788,0.555980047328097
99.5,512,0.0001,16-8-4,0.994499192434634,0.19850187265917604,0.7162162162162162,0.31085043988269795,0.9949820620442235,0.005017937955776491,0.28378378378378377,0.9279558652140545,0.3782081168923765,0.04744180664420128,42433,214,21,53,0.014235975871384143,4.3973450000048615,0.5547532019685423
90.0,128,0.0005,64-32-16-8,0.8975913485171227,0.014230856110232663,0.8513513513513513,0.027993779160186624,0.8976715829952869,0.10232841700471311,0.14864864864864866,0.9376398580680243,0.39145933219957024,0.004982488229870796,38283,4364,11,63,0.0027792500183731316,11.355180499958806,0.5531329615350514
